mode,arm_id,scenario_id,seed,attempt,json_valid,parse_valid,precision,recall,f1,closed_profile_jaccard,status_agreement,latency_ms,report_signature,predicted_status,expected_status,diagnostic_signature_agreement,closed_profile_signature_hash,cgt_diagnostic_signature_hash,expected_cgt_diagnostic_signature_hash,declared_component_count,declared_components,run_may_available,run_must_available
gold_deterministic,gold,vague_ai_claim,,,1,1,1.0,1.0,1.0,1.0,1,,no_declared_report,unformed,unformed,1,e04079b254f7ef1c6d615b6d72eb590f4961da4103ad85a90cdacc884ad4a3e1,40afd3f8b71bb6e5940ad7657649b02e4c149029a156efe82b0b7d85962f84db,40afd3f8b71bb6e5940ad7657649b02e4c149029a156efe82b0b7d85962f84db,0,[],,
gold_deterministic,gold,benchmark_claim,,,1,1,1.0,1.0,1.0,1.0,1,,accuracy_0.90,well_typed,well_typed,1,34a6ffba166343f9dc3ae0bd3aa91c38fcb959785e357840d582867f257a70f3,9d31ec372ce63da8df1f3218bac10296f98bd1fca05e20cbeed810db5a7458f2,9d31ec372ce63da8df1f3218bac10296f98bd1fca05e20cbeed810db5a7458f2,13,"[""frame"",""system"",""projection"",""observation"",""description"",""normalizer"",""expected_report"",""verifier"",""failure_predicate"",""reproduction_protocol"",""provenance"",""comparison_regime"",""report_path""]",,
gold_deterministic,gold,unobservable_claim,,,1,1,1.0,1.0,1.0,1.0,1,,no_observable_report,unformed,unformed,1,92232578f23c6316465a52938f63a4872b7dd19b5684575953849315e9faf8d4,56f2abbfc665d1f56977f09c4257c0b62277b5192f24c4cb1de71d034c0f854a,56f2abbfc665d1f56977f09c4257c0b62277b5192f24c4cb1de71d034c0f854a,2,"[""frame"",""system""]",,
gold_deterministic,gold,verifier_failure_incoherence,,,1,1,1.0,1.0,1.0,1.0,1,,report_r_accept_and_fail,blocked,blocked,1,aa920c6624e93cdf3c29d1b48f4522c386906db1a9d86390947fadfd7ce9ecae,e89f29532ab65b0d7e6aeaeed197593b06f13f4f7eb60bb0079365582e2f39d0,e89f29532ab65b0d7e6aeaeed197593b06f13f4f7eb60bb0079365582e2f39d0,12,"[""frame"",""system"",""projection"",""observation"",""description"",""normalizer"",""expected_report"",""verifier"",""failure_predicate"",""reproduction_protocol"",""provenance"",""report_path""]",,
gold_deterministic,gold,missing_reproduction_protocol,,,1,1,1.0,1.0,1.0,1.0,1,,normalized_z,partial,partial,1,b4e040f7d77d798584a772e8faa0310e4070ab5732702fa1729966ba18205936,4bad87f983423c33acb01fa8fd161512def4325098ef2993de0ed692fca44911,4bad87f983423c33acb01fa8fd161512def4325098ef2993de0ed692fca44911,11,"[""frame"",""system"",""projection"",""observation"",""description"",""normalizer"",""expected_report"",""verifier"",""failure_predicate"",""provenance"",""report_path""]",,
gold_deterministic,gold,strict_reproduction_protocol,,,1,1,1.0,1.0,1.0,1.0,1,,normalized_z,reproducibly_available,reproducibly_available,1,2a7613196b6955f13e61d812fe057a80bfa1b70ade838da7f0f6e91e3bc9d4dd,8ea4fdfaf9ab0e42ecc257edf61f7ecba12d7bbeeb1087ff363df13baa16bb85,8ea4fdfaf9ab0e42ecc257edf61f7ecba12d7bbeeb1087ff363df13baa16bb85,12,"[""frame"",""system"",""projection"",""observation"",""description"",""normalizer"",""expected_report"",""verifier"",""failure_predicate"",""reproduction_protocol"",""provenance"",""report_path""]",,
gold_deterministic,gold,same_report_continuation_low,,,1,1,1.0,1.0,1.0,1.0,1,,same_report_0.90,continuation_sensitive,continuation_sensitive,1,b84edd6d8a3f67b07e5845d628e990face664e164a75d079438da26dcf62fcb9,c268c0a2cca7c4e3b2efeacd46ded00caccd6ad889e837b21dcc07e999651ea6,c268c0a2cca7c4e3b2efeacd46ded00caccd6ad889e837b21dcc07e999651ea6,13,"[""frame"",""system"",""projection"",""observation"",""description"",""normalizer"",""expected_report"",""verifier"",""failure_predicate"",""reproduction_protocol"",""continuation"",""provenance"",""report_path""]",,
gold_deterministic,gold,same_report_continuation_high,,,1,1,1.0,1.0,1.0,1.0,1,,same_report_0.90,continuation_sensitive,continuation_sensitive,1,b84edd6d8a3f67b07e5845d628e990face664e164a75d079438da26dcf62fcb9,2cc94a0e218a64a12c98e55f4a497075de2cdc16b52dc7c7e80bb2fecae2e1a8,2cc94a0e218a64a12c98e55f4a497075de2cdc16b52dc7c7e80bb2fecae2e1a8,13,"[""frame"",""system"",""projection"",""observation"",""description"",""normalizer"",""expected_report"",""verifier"",""failure_predicate"",""reproduction_protocol"",""continuation"",""provenance"",""report_path""]",,
gold_deterministic,gold,marker_sensitive_omission,,,1,1,1.0,1.0,1.0,1.0,1,,marker_omitted_report,blocked,blocked,1,36d17588df082ad2744ea23464038dc491557a0c97f1b88992fa04c6838fccbd,0328ed279b573884ca344f219ee203ded53fc066ca318113ccde759d3f84447d,0328ed279b573884ca344f219ee203ded53fc066ca318113ccde759d3f84447d,12,"[""frame"",""system"",""projection"",""observation"",""description"",""normalizer"",""expected_report"",""verifier"",""failure_predicate"",""reproduction_protocol"",""provenance"",""report_path""]",,
gold_deterministic,gold,marker_sensitive_preserved,,,1,1,1.0,1.0,1.0,1.0,1,,marker_omitted_report,well_typed,well_typed,1,34a6ffba166343f9dc3ae0bd3aa91c38fcb959785e357840d582867f257a70f3,ac7831e85b9938fc8feda9b800f4867251483bb4fa25044a19b142861d4aaf79,ac7831e85b9938fc8feda9b800f4867251483bb4fa25044a19b142861d4aaf79,14,"[""frame"",""system"",""projection"",""observation"",""description"",""normalizer"",""expected_report"",""verifier"",""failure_predicate"",""reproduction_protocol"",""marker_policy"",""marker_state"",""provenance"",""report_path""]",,
gold_deterministic,gold,direct_selector_degeneracy,,,1,1,1.0,1.0,1.0,1.0,1,,direct_target_report,well_typed,well_typed,1,2f9dc3eb3c9708480112a7ce367c34d8e1eec1b46a9a8e890a9085608c46098c,b5b31c4c89de2fb3a3d1353e13416051fc05a77c0596d21c6f92a54a4c902102,b5b31c4c89de2fb3a3d1353e13416051fc05a77c0596d21c6f92a54a4c902102,13,"[""frame"",""system"",""projection"",""observation"",""description"",""normalizer"",""expected_report"",""verifier"",""failure_predicate"",""reproduction_protocol"",""history"",""provenance"",""report_path""]",,
gold_deterministic,gold,structured_history_control,,,1,1,1.0,1.0,1.0,1.0,1,,direct_target_report,reproducibly_available,reproducibly_available,1,2a7613196b6955f13e61d812fe057a80bfa1b70ade838da7f0f6e91e3bc9d4dd,aede2c37425d84c68207e3af080a5e93d61f3fd8e8ebca4e1a81f3ec3ff37848,aede2c37425d84c68207e3af080a5e93d61f3fd8e8ebca4e1a81f3ec3ff37848,14,"[""frame"",""system"",""projection"",""observation"",""description"",""normalizer"",""expected_report"",""verifier"",""failure_predicate"",""reproduction_protocol"",""history"",""degeneracy_control"",""provenance"",""report_path""]",,
gold_deterministic,gold,dependency_closure_cascade,,,1,1,1.0,1.0,1.0,1.0,1,,cascade_no_projection,unformed,unformed,1,92232578f23c6316465a52938f63a4872b7dd19b5684575953849315e9faf8d4,e27d8ff98aa5d4359e3aa93c73ac2d315b9cec511e1f8f9efa192c84cf63a414,e27d8ff98aa5d4359e3aa93c73ac2d315b9cec511e1f8f9efa192c84cf63a414,2,"[""frame"",""system""]",,
gold_deterministic,gold,finite_run_family_may_must,,,1,1,1.0,1.0,1.0,1.0,1,,finite_run_family,partial,partial,1,b4e040f7d77d798584a772e8faa0310e4070ab5732702fa1729966ba18205936,170ca9f74f431a3608725b5272b31f4a84932d2f0488dcfcc74708a179158ccd,170ca9f74f431a3608725b5272b31f4a84932d2f0488dcfcc74708a179158ccd,11,"[""frame"",""system"",""projection"",""observation"",""description"",""normalizer"",""expected_report"",""verifier"",""failure_predicate"",""provenance"",""report_path""]",True,False
