mode,arm_id,scenario_id,seed,attempt,json_valid,parse_valid,precision,recall,f1,closed_profile_jaccard,status_agreement,latency_ms,report_signature,predicted_status,expected_status,diagnostic_signature_agreement,closed_profile_signature_hash,cgt_diagnostic_signature_hash,expected_cgt_diagnostic_signature_hash,declared_component_count,declared_components,run_may_available,run_must_available
llm_extraction,minimal_text,vague_ai_claim,101,1,1,1,1.0,0.916667,0.956522,0.916667,1,22193.217,no_declared_report,unformed,unformed,0,99c008046ec91610e9e52081af3c735d4dc7e39513285268f5d4bb361ff0e99e,242cfd529338a94fc9922670df2f6b544d6163d4d0179d33ade7b2c330c4d7dd,40afd3f8b71bb6e5940ad7657649b02e4c149029a156efe82b0b7d85962f84db,0,[],,
llm_extraction,minimal_text,vague_ai_claim,102,1,1,1,1.0,0.916667,0.956522,0.916667,1,5296.334,no_declared_report,unformed,unformed,0,99c008046ec91610e9e52081af3c735d4dc7e39513285268f5d4bb361ff0e99e,242cfd529338a94fc9922670df2f6b544d6163d4d0179d33ade7b2c330c4d7dd,40afd3f8b71bb6e5940ad7657649b02e4c149029a156efe82b0b7d85962f84db,0,[],,
llm_extraction,minimal_text,vague_ai_claim,103,1,1,1,1.0,0.916667,0.956522,0.916667,1,5100.779,no_declared_report,unformed,unformed,0,99c008046ec91610e9e52081af3c735d4dc7e39513285268f5d4bb361ff0e99e,242cfd529338a94fc9922670df2f6b544d6163d4d0179d33ade7b2c330c4d7dd,40afd3f8b71bb6e5940ad7657649b02e4c149029a156efe82b0b7d85962f84db,0,[],,
llm_extraction,minimal_text,vague_ai_claim,104,1,1,1,1.0,0.916667,0.956522,0.916667,1,5089.553,no_declared_report,unformed,unformed,0,99c008046ec91610e9e52081af3c735d4dc7e39513285268f5d4bb361ff0e99e,242cfd529338a94fc9922670df2f6b544d6163d4d0179d33ade7b2c330c4d7dd,40afd3f8b71bb6e5940ad7657649b02e4c149029a156efe82b0b7d85962f84db,0,[],,
llm_extraction,minimal_text,vague_ai_claim,105,1,1,1,1.0,0.916667,0.956522,0.916667,1,5391.771,no_declared_report,unformed,unformed,0,99c008046ec91610e9e52081af3c735d4dc7e39513285268f5d4bb361ff0e99e,242cfd529338a94fc9922670df2f6b544d6163d4d0179d33ade7b2c330c4d7dd,40afd3f8b71bb6e5940ad7657649b02e4c149029a156efe82b0b7d85962f84db,0,[],,
llm_extraction,report_only,vague_ai_claim,101,1,1,1,1.0,0.916667,0.956522,0.916667,1,15719.695,no_declared_report,unformed,unformed,0,99c008046ec91610e9e52081af3c735d4dc7e39513285268f5d4bb361ff0e99e,242cfd529338a94fc9922670df2f6b544d6163d4d0179d33ade7b2c330c4d7dd,40afd3f8b71bb6e5940ad7657649b02e4c149029a156efe82b0b7d85962f84db,0,[],,
llm_extraction,report_only,vague_ai_claim,102,1,1,1,1.0,0.916667,0.956522,0.916667,1,5107.781,no_declared_report,unformed,unformed,0,99c008046ec91610e9e52081af3c735d4dc7e39513285268f5d4bb361ff0e99e,242cfd529338a94fc9922670df2f6b544d6163d4d0179d33ade7b2c330c4d7dd,40afd3f8b71bb6e5940ad7657649b02e4c149029a156efe82b0b7d85962f84db,0,[],,
llm_extraction,report_only,vague_ai_claim,103,1,1,1,1.0,0.916667,0.956522,0.916667,1,5134.79,no_declared_report,unformed,unformed,0,99c008046ec91610e9e52081af3c735d4dc7e39513285268f5d4bb361ff0e99e,242cfd529338a94fc9922670df2f6b544d6163d4d0179d33ade7b2c330c4d7dd,40afd3f8b71bb6e5940ad7657649b02e4c149029a156efe82b0b7d85962f84db,0,[],,
llm_extraction,report_only,vague_ai_claim,104,1,1,1,1.0,0.916667,0.956522,0.916667,1,5206.456,no_declared_report,unformed,unformed,0,99c008046ec91610e9e52081af3c735d4dc7e39513285268f5d4bb361ff0e99e,242cfd529338a94fc9922670df2f6b544d6163d4d0179d33ade7b2c330c4d7dd,40afd3f8b71bb6e5940ad7657649b02e4c149029a156efe82b0b7d85962f84db,0,[],,
llm_extraction,report_only,vague_ai_claim,105,1,1,1,1.0,0.916667,0.956522,0.916667,1,5417.224,no_declared_report,unformed,unformed,0,99c008046ec91610e9e52081af3c735d4dc7e39513285268f5d4bb361ff0e99e,242cfd529338a94fc9922670df2f6b544d6163d4d0179d33ade7b2c330c4d7dd,40afd3f8b71bb6e5940ad7657649b02e4c149029a156efe82b0b7d85962f84db,0,[],,
llm_extraction,schema_guided_dossier,vague_ai_claim,101,1,1,1,1.0,0.916667,0.956522,0.916667,1,15692.461,no_declared_report,unformed,unformed,0,99c008046ec91610e9e52081af3c735d4dc7e39513285268f5d4bb361ff0e99e,242cfd529338a94fc9922670df2f6b544d6163d4d0179d33ade7b2c330c4d7dd,40afd3f8b71bb6e5940ad7657649b02e4c149029a156efe82b0b7d85962f84db,0,[],,
